region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro,num_features
NEI,2022,5,scaled,50,top_N,0.8687258687258688,0.8659283141173973,0.8210729774244213,60
WGR,1995,3,scaled,50,top_N,0.84375,0.8365773941247957,0.7828627965032767,60
WGR,1998,3,scaled,50,top_N,0.8511627906976744,0.8473753368316377,0.7974186721485763,60
WGR,2001,3,scaled,50,top_N,0.8780487804878049,0.8651885710118793,0.7925201020756475,60
WGR,2004,3,scaled,50,top_N,0.8459770114942529,0.8382286724893764,0.7608878573950955,60
WGR,2007,3,scaled,50,top_N,0.8637469586374696,0.8594683896039366,0.8338359111496212,60
WGR,2010,3,scaled,50,top_N,0.8454106280193237,0.8411999238391613,0.8248918343807996,60
WGR,2013,3,scaled,50,top_N,0.8697788697788698,0.8656312796147946,0.8220941981818543,60
WGR,2016,3,scaled,50,top_N,0.8964705882352941,0.8925764576477765,0.8422761250593908,60
WGR,2019,3,scaled,50,top_N,0.8985507246376812,0.8971528602719626,0.8705359054366063,60
WGR,2022,3,scaled,50,top_N,0.9057971014492754,0.9020201661856764,0.8768275571851105,60
ICR,1995,4,scaled,50,top_N,0.9047619047619048,0.9020430187544888,0.9028694408525756,60
ICR,1998,4,scaled,50,top_N,0.9210526315789472,0.9201860064353812,0.9214339944906152,60
ICR,2001,4,scaled,50,top_N,0.8446215139442231,0.8413679172817824,0.837081801090187,60
ICR,2004,4,scaled,50,top_N,0.8875739644970414,0.8853348560661629,0.8802649144337307,60
ICR,2007,4,scaled,50,top_N,0.9077868852459016,0.9069466831851268,0.902540414967221,60
ICR,2010,4,scaled,50,top_N,0.8772635814889336,0.8770502839175152,0.8795034780592751,60
ICR,2013,4,scaled,50,top_N,0.9012096774193548,0.9006582066638116,0.8960158223640435,60
ICR,2016,4,scaled,50,top_N,0.9263803680981596,0.924737519059182,0.9214534528451772,60
ICR,2019,4,scaled,50,top_N,0.9092741935483872,0.9081101209133772,0.9046019666399944,60
ICR,2022,4,scaled,50,top_N,0.910828025477707,0.9096021007002916,0.9030392336452626,60
HIM,1995,4,scaled,50,top_N,0.8878048780487805,0.8853236741704215,0.8712565036356579,70
HIM,1998,4,scaled,50,top_N,0.9326347305389222,0.931873429440683,0.9222215796631816,70
HIM,2001,4,scaled,50,top_N,0.9205607476635514,0.9203796349021028,0.9165193535481662,70
HIM,2004,4,scaled,50,top_N,0.948031496062992,0.9477282780111612,0.9182253630970056,70
HIM,2007,4,scaled,50,top_N,0.9399075500770416,0.938820768584288,0.9285547928346248,70
HIM,2010,4,scaled,50,top_N,0.9370199692780338,0.9365813592349582,0.9352791183777532,70
HIM,2013,4,scaled,50,top_N,0.9209302325581395,0.920504860727258,0.9283831648312576,70
HIM,2016,4,scaled,50,top_N,0.9152298850574712,0.9141264020697156,0.912798840333436,70
HIM,2019,4,scaled,50,top_N,0.9044684129429892,0.9031052221676537,0.897389335249763,70
HIM,2022,4,scaled,50,top_N,0.9085072231139648,0.9066687626107842,0.8959764017499842,70
IGP,1995,5,scaled,50,top_N,0.9183135704874836,0.9152720252582828,0.8772001950806722,70
IGP,1998,5,scaled,50,top_N,0.9363636363636364,0.9327729271954928,0.9119805329890768,70
IGP,2001,5,scaled,50,top_N,0.9208333333333332,0.9092397758816764,0.8722137814594718,70
IGP,2004,5,scaled,50,top_N,0.9417344173441734,0.9375437578622676,0.8913373517030081,70
IGP,2007,5,scaled,50,top_N,0.953045685279188,0.950605239073646,0.9192129757538066,70
IGP,2010,5,scaled,50,top_N,0.9507042253521126,0.9493961595746524,0.929856460317348,70
IGP,2013,5,scaled,50,top_N,0.95112285336856,0.9495088231603748,0.9173768515696434,70
IGP,2016,5,scaled,50,top_N,0.9474358974358974,0.9459847832863162,0.924980322399222,70
IGP,2019,5,scaled,50,top_N,0.9618805590851334,0.9612480009114572,0.945486727993198,70
IGP,2022,5,scaled,50,top_N,0.9674479166666666,0.967343607109446,0.9514341368445972,70
DES,1995,7,scaled,50,top_N,0.9165867689357622,0.9171655488087416,0.9254213273167176,70
DES,1998,7,scaled,50,top_N,0.9391056137012368,0.9389363723277426,0.9481037777538422,70
DES,2001,7,scaled,50,top_N,0.9254545454545454,0.9249758040097248,0.9233260743179708,70
DES,2004,7,scaled,50,top_N,0.9418386491557224,0.9418629981327648,0.9506084198440647,70
DES,2007,7,scaled,50,top_N,0.9295112781954888,0.9295350010624488,0.9251582410720172,70
DES,2010,7,scaled,50,top_N,0.9345351043643264,0.9346336927574403,0.940661663819366,70
DES,2013,7,scaled,50,top_N,0.9326473339569692,0.9317837232977634,0.9326956728862392,70
DES,2016,7,scaled,50,top_N,0.9416745061147695,0.9415254114584688,0.9541760439117102,70
DES,2019,7,scaled,50,top_N,0.9375,0.937004186061288,0.9505562480376232,70
DES,2022,7,scaled,50,top_N,0.9410681399631676,0.9409791033506728,0.9401699788999598,70
PEN,1995,5,scaled,50,top_N,0.8543130990415335,0.8420752110059357,0.7636275144645823,70
PEN,1998,5,scaled,50,top_N,0.868470736312146,0.854433631492407,0.7648299736160781,70
PEN,2001,5,scaled,50,top_N,0.8794871794871795,0.8660077394642184,0.7746935820190792,70
PEN,2004,5,scaled,50,top_N,0.8776315789473684,0.8656374061599861,0.7868555096230962,70
PEN,2007,5,scaled,50,top_N,0.8761467889908257,0.8630822928352058,0.7873611470121418,70
PEN,2010,5,scaled,50,top_N,0.8597402597402597,0.8523362771161912,0.8095202790171585,70
PEN,2013,5,scaled,50,top_N,0.8744336569579289,0.8661928166443812,0.8149206624391041,70
